loc_rowid,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_dens,st_dist,gaia_dist,st_optmag,gaia_gmag,st_teff,st_mass,st_rad,pl_rvamp,pl_eqt,pl_bmasse,pl_rade,pl_trandep,pl_trandur,pl_mnum,st_radv,st_logg,st_lum,st_dens,st_metfe,st_age,st_vsini
1,1,326.03000000,1.290000,0.231000,,,93.37,93.37,4.740,4.372,4742.00,2.70,19.00,302.800,,6165.60000,,,,0,43.37,2.31,2.243,,-0.350,,1.2000
2,1,516.21997000,1.530000,0.080000,,,125.72,125.72,5.016,4.500,4213.00,2.78,29.79,189.700,,4684.81420,,,,0,-17.52,1.93,,,-0.020,,1.5000
3,1,185.84000000,0.830000,0.000000,,,75.59,75.59,5.227,4.872,4813.00,2.20,11.00,100.000,,1525.50000,,,,0,-59.73,2.63,1.763,,-0.240,,2.6000
4,1,1773.40002000,2.930000,0.370000,,,17.94,17.94,6.610,6.379,5338.00,0.90,0.93,90.000,,1481.08780,,,,0,,4.45,,,0.410,,1.6000
5,1,798.50000000,1.660000,0.680000,,,21.15,21.15,6.250,6.057,5750.00,1.08,1.13,50.500,,565.73740,,,,0,-28.10,4.36,,,0.060,,2.1800
6,1,993.30000000,2.600000,0.080000,,,76.38,76.38,5.506,5.244,4979.00,2.30,8.50,119.400,,3273.50000,,,,0,4.35,2.82,1.602,,-0.052,,
7,1,,330.000000,,,,145.00,139.67,,12.057,4060.00,0.85,,,1700,3000.00000,,,,0,,,-0.370,,,0.005,
8,1,30.35060000,0.190000,0.042000,,,96.25,96.25,5.580,5.305,4893.00,0.99,10.64,59.900,,289.22530,,,,0,-7.77,2.42,1.774,,-0.770,6.920,3.3600
9,2,452.80000000,1.333000,0.090000,,,72.21,72.21,6.441,6.198,5098.00,1.54,4.90,40.000,,632.46000,,,,0,7.29,3.50,1.164,,-0.030,2.700,2.7700
10,2,883.00000000,2.080000,0.290000,,,72.21,72.21,6.441,6.198,5098.00,1.54,4.90,14.500,,273.32000,,,,0,7.29,3.50,1.164,,-0.030,2.700,2.7700
11,1,,52.000000,,,,36.00,33.86,14.240,12.903,3530.00,0.40,,,,7786.50000,,,,0,9.60,,-1.720,,,0.120,
12,1,,156.000000,,,,39.40,40.09,,15.012,3064.00,0.11,0.28,,,4417.83700,16.141,,,0,10.60,4.59,-2.230,,,0.035,6.5000
13,1,,15.000000,,,,140.00,120.42,,18.967,,0.02,,,,2383.60000,,,,0,,,,,,0.001,
14,1,,46.000000,,,,64.42,64.42,20.150,17.408,,0.02,,,1150,1271.00000,,,,0,,,,,,0.008,
15,1,416.00000000,0.920000,,,,400.77,400.77,12.264,12.138,,0.48,,,,603.87700,,,,0,,,,,,,
16,1,7336.50000000,,0.260000,46.200,,25.00,33.12,,17.396,2300.00,0.08,0.12,,2075,6657.48000,10.310,,,0,13.00,,-3.480,,,,
17,1,,230.000000,,,,74.00,69.71,12.510,11.948,4045.00,0.60,,,,3972.87500,,,,0,-21.50,,,,,0.120,
18,1,335.10001000,0.990000,0.290000,,,44.71,44.71,6.962,6.961,6331.00,1.93,1.41,272.000,,4392.41060,,,,0,17.20,4.43,,,0.190,,38.3000
19,1,269.30000000,0.870000,0.432000,,,73.58,73.58,4.610,4.160,4415.00,1.23,18.11,215.550,,2256.50000,,,,0,14.62,1.80,,,-0.250,4.604,
20,1,479.10000000,1.190000,0.380000,,,90.86,90.86,4.820,4.364,4200.00,0.98,22.03,110.500,,1233.13000,,,,0,31.79,1.71,,,-0.460,9.490,1.0000
21,3,1078.00000000,2.100000,0.032000,,,13.80,13.80,5.050,4.831,5892.00,1.03,1.23,48.400,,804.08000,,,,0,11.10,4.27,,,0.000,7.300,2.9000
22,3,2391.00000000,3.600000,0.098000,,,13.80,13.80,5.050,4.831,5892.00,1.03,1.23,8.000,,171.62100,,,,0,11.10,4.27,,,0.000,7.300,2.9000
23,3,14002.00000000,11.600000,0.160000,,,13.80,13.80,5.050,4.831,5892.00,1.03,1.23,13.800,,521.22000,,,,0,11.10,4.27,,,0.000,7.300,2.9000
24,1,11688.00000000,12.000000,0.450000,133.000,,29.40,29.78,5.230,5.122,,1.75,,,,,,,,0,17.30,,0.850,,-0.027,0.020,71.8000
25,1,4.23078500,0.052700,0.013000,,,15.47,15.47,5.500,5.256,5793.00,1.12,1.20,55.940,,150.00900,,,,0,-33.25,4.33,,,0.200,4.000,2.0000
26,5,14.65152000,0.115227,0.003400,90.000,,12.59,12.59,5.960,5.714,5196.00,0.91,0.94,71.400,,263.97850,,,,0,27.41,4.45,-0.235,,0.310,10.200,2.5000
27,5,44.41750000,0.241376,0.020000,90.000,,12.59,12.59,5.960,5.714,5196.00,0.91,0.94,10.180,,54.47380,,,,0,27.41,4.45,-0.235,,0.310,10.200,2.5000
28,5,4825.00000000,5.503000,0.019000,90.000,,12.59,12.59,5.960,5.714,5196.00,0.91,0.94,48.290,,1232.49300,,,,0,27.41,4.45,-0.235,,0.310,10.200,2.5000
29,5,0.73653900,0.015440,,83.300,6.40000,12.59,12.59,5.960,5.714,5196.00,0.91,0.94,,,8.08000,1.910,,,0,27.41,4.45,-0.235,,0.310,10.200,2.5000
30,5,262.00000000,0.788000,0.305000,90.000,,12.59,12.59,5.960,5.714,5196.00,0.91,0.94,4.870,,44.81200,,,,0,27.41,4.45,-0.235,,0.310,10.200,2.5000
31,1,934.30000000,2.110000,0.073000,,,54.74,54.74,5.860,5.588,4938.00,1.44,5.20,32.800,,638.83830,,,,0,39.70,3.19,,,,,1.3200
32,3,4.21500000,0.050201,0.120000,,,8.51,8.51,4.740,4.477,5577.00,0.94,0.96,2.120,,5.10000,,,,0,-8.20,4.34,-0.095,,-0.010,8.960,1.9000
33,3,38.02100000,0.217500,0.140000,,,8.51,8.51,4.740,4.477,5577.00,0.94,0.96,3.620,,18.20000,,,,0,-8.20,4.34,-0.095,,-0.010,8.960,1.9000
34,3,123.01000000,0.476000,0.350000,,,8.51,8.51,4.740,4.477,5577.00,0.94,0.96,3.250,,22.90000,,,,0,-8.20,4.34,-0.095,,-0.010,8.960,1.9000
35,2,735.10000000,1.758000,0.060000,90.000,,19.82,19.82,3.920,3.578,4826.00,1.34,4.87,34.300,,587.98550,,,,0,,3.19,1.063,,0.210,4.300,1.1500
36,2,996.00000000,2.153000,0.080000,90.000,,19.82,19.82,3.920,3.578,4826.00,1.34,4.87,14.900,,276.51210,,,,0,,3.19,1.063,,0.210,4.300,1.1500
37,1,116.68800000,0.481000,0.398800,,,17.91,17.91,4.970,4.709,5495.00,1.09,1.89,316.200,,2357.02728,,,,0,4.60,3.95,,,,,1.5600
38,1,691.90000000,2.100000,0.117000,,,83.15,83.15,5.350,5.055,4846.00,2.49,10.50,38.300,,953.49000,,,,0,-6.21,2.63,1.730,,0.000,,1.7700
39,1,93.40000000,0.490000,0.060000,,,163.32,163.32,6.830,6.559,4847.00,1.44,10.30,46.100,,416.35730,,,,0,-9.20,2.57,,,-0.030,,3.6000
40,1,952.70000000,2.500000,0.206000,,,101.53,101.53,5.650,5.349,4785.00,2.40,11.00,62.800,,1684.40000,,,,0,9.25,2.35,1.778,,-0.060,,1.8000
41,1,181.40000000,0.700000,0.027000,,,44.08,44.08,4.250,3.863,4665.00,1.40,11.00,91.500,,1017.00000,,,,0,-25.75,2.52,,,-0.030,3.560,3.9000
42,1,,260.000000,,,,50.12,50.12,9.128,8.838,,,,,,4290.50000,,,,0,22.20,,,,,0.030,12.0000
43,1,481.90000000,1.300000,0.200000,,,2618.00,1106.93,9.580,8.998,4095.00,1.14,32.35,155.700,,2034.11200,,,,0,50.88,1.89,2.700,,-0.710,5.200,2.7000
44,1,268.94000000,0.780000,0.290000,,,49.42,49.42,9.630,9.351,4864.00,0.49,0.86,55.200,,330.54320,,,,0,-44.30,4.26,,,0.170,,2.5000
45,1,153.22000000,0.576000,0.001000,,,774.00,785.38,10.310,9.992,4649.00,1.08,8.95,38.300,,337.21763,,,,0,-9.65,2.61,1.570,,-0.220,7.410,2.5000
46,1,137.48000000,0.539000,0.260000,,,431.61,431.61,9.046,8.718,4796.00,1.10,14.70,42.700,,352.78000,,,,0,36.71,2.80,2.010,,0.280,7.100,2.3000
47,2,379.63000000,1.050000,0.150000,,,1670.85,1670.85,9.750,9.227,4259.00,10.83,71.02,322.400,,17668.16970,,,,0,145.77,1.77,,,-0.790,,2.5000
48,2,621.99000000,2.010000,0.180000,,,1670.85,1670.85,9.750,9.227,4259.00,10.83,71.02,160.030,,3963.17000,,,,0,145.77,1.77,,,-0.790,,2.5000
49,1,578.20000000,1.300000,0.210000,,,1383.85,1383.85,9.360,8.916,4296.00,0.80,17.30,121.400,,1334.88600,,,,0,8.39,1.99,1.960,,-0.460,,2.0000
50,1,41.68550000,,0.000000,89.550,,180.39,180.39,11.038,10.864,5766.00,1.67,1.08,3.100,,22.24810,2.578,0.049000,,0,-20.34,4.50,,1.8900,-0.150,,3.3000
51,1,392.60000000,1.000000,0.200000,,,892.17,892.17,9.140,8.656,4414.00,0.74,11.00,31.900,,289.22530,,,,0,-5.81,2.24,1.690,,-0.200,,1.0000
52,1,733.00000000,1.700000,0.760000,,,678.94,678.94,8.699,8.264,4534.00,1.09,10.33,54.000,,540.31100,,,,0,-45.93,2.48,1.640,,-0.130,,0.7000
53,1,2590.00000000,4.200000,0.350000,,,447.59,447.59,9.380,9.029,4943.00,1.52,7.60,18.800,,508.50000,,,,0,3.61,2.85,1.470,,-0.190,2.340,1.7000
54,2,3.87280000,0.042800,0.000000,,,20.28,20.28,9.700,9.107,4324.00,0.70,,4.400,,8.50000,,,,0,23.62,4.74,-1.022,,-0.140,4.400,0.5700
55,2,125.94000000,0.435000,0.310000,,,20.28,20.28,9.700,9.107,4324.00,0.70,,9.100,,53.00000,,,,0,23.62,4.74,-1.022,,-0.140,4.400,0.5700
56,2,5.60000000,0.060000,0.150000,,,41.38,41.38,9.880,9.503,4816.00,0.50,0.71,6.500,,12.71320,,,,0,53.34,4.43,,,-0.060,,1.4000
57,2,237.60000000,0.680000,0.190000,,,41.38,41.38,9.880,9.503,4816.00,0.50,0.71,13.400,,104.00000,,,,0,53.34,4.43,,,-0.060,,1.4000
58,1,3.48777000,0.040000,0.020000,,,84.61,84.61,10.080,9.840,5393.00,1.47,0.91,60.900,,187.51970,,,,0,26.40,4.69,,,0.380,,0.9200
59,1,1667.00000000,2.280000,0.050000,,,27.30,27.19,9.990,9.485,4475.00,0.57,0.52,13.400,,168.44000,,,,0,-87.30,4.10,,,-0.480,4.400,2.0000
60,1,714.29999000,1.660000,0.210000,,,948.75,948.75,9.450,9.700,4545.00,2.12,19.17,137.600,,3108.37740,,,,0,18.31,2.20,,,-0.080,,
61,1,655.60000000,1.340000,0.540000,,,34.49,34.49,9.566,9.201,4714.00,0.74,0.69,173.300,,1620.90000,,,,0,3.40,4.26,-0.678,,-0.030,4.300,1.5000
62,1,10037.50000000,2.600000,,,,23.10,,,,580.50,0.02,,,370,3337.10000,,,,0,,4.72,,,,,
63,1,,210.000000,,,,191.05,191.05,,17.293,,0.35,,,,3994.48600,,,,0,,,,,,0.002,
64,1,8.98910000,,0.250000,50.500,,158.00,158.71,12.939,12.145,,0.90,,950.000,,3686.82800,,,,0,18.00,,-0.108,,,0.003,
